"5W_embryo1" "7W_embryo1" "8W_embryo1" "10W_embryo1" "12W_embryo1" "14W_embryo1" "18W_embryo1" "18W_embryo2" "20W_embryo1" "20W_embryo2" "23W_embryo1" "23W_embryo2" "24W_embryo1" "24W_embryo2" "26W_embryo1"
"ASCL1" 0 0 0.0725088520119073 0 0.163498043020777 0.274266094964076 0 0.151883203107574 0 1.14845414887912 0.0912901711605809 0 0.0230405533849226 0 0.0294625991345961
"ASF1B" 0.309952981255372 0.255492581559253 0.30763596968038 0.587258837748068 0.403339247947458 0.31117226689533 0.476484842179202 0.417248584967286 0.326616161392439 0.481652883226063 0.687264087262866 0.620166396397185 0.515432970745193 0.565887853520333 0.166715284130075
"ASPM" 0.917001801356932 0.769690377950285 0.578406561467897 0.789064069340271 0.720849684102089 0.590617565441817 0.602710946287592 0.927645044901026 0.692421904944807 0.677118564319858 0.636888783172145 0.843165111493759 0.746622496293618 0.645352868701424 0.481085106852299
"ASTN1" 0.225447809180935 0.213803038594098 0.404730273093603 0.0551518087090219 0 0.259455567190682 0 0.508589758134291 0.35346464459919 0.325091900864478 0.00866733276912854 0.0365342473167414 0.426317225507488 0.385318497018129 0.225272912752993
"ASXL3" 0.178936960281047 0.618517583938863 0 0 0.256503242499837 0.276011636390411 0.297206451740607 0.0715569251452923 0.0404940749065812 0.229909786976986 0.267475283073266 0.164307627181355 0.22934281367853 0.546543689036965 0.0207144213090856
"ATF3" 0.384891231846192 0.291907638702607 0.161599015606641 0.270646073972232 0.228639766315769 0.140516159534205 0.680793121167228 0.0415344284683963 0.833058895451833 0.449378831630879 0.180429278500375 0.127949670521405 0.238496884519312 0.193565919861564 0.180065047704887
"ATG7" 0.242412704574277 0.285116303857516 0.321481495946735 0.51959000162415 0.343097680625901 0.225869310268197 0.499259680855391 0.58736522498658 0.472046580884338 0.509835927043225 0.71256066806974 0.716617018400561 0.443111875625143 0.701645627441784 0.724964343917864
"ATP11A" 0.259194364971904 0.18965353590916 0.171250312358638 0.162178296831052 0.218702609080799 0.281657981942042 0.507890465903657 0.145933111965251 0.354233604127264 0.355462543305129 0.255687733173177 0.21482969764647 0.307787661261251 0.266693277116651 0.740586368049718
"ATP1B1" 0.238341792529154 0.354058581986111 0.244241343229808 0.210233323246302 0.41196294884761 0.563388897906401 0.613920451526914 0.576198291489522 0.53627031958267 0.444477843405686 0.391090250843364 0.584116190201288 0.403869151070841 0.418782039834449 0.462412690456464
"ATP6V0A2" 0.316996314448693 0.209110002328575 0.265722291694702 0.223167261051504 0.276575987833385 0.227753305178485 0.434010821540658 0.395731989282254 0.258877211183766 0.289676342506906 0.408546127598375 0.177235673306729 0.345317175097923 0.161824571581895 0.14056394188894
"ATRNL1" 0.290846947202172 0.323887061903142 0.196244532027648 0.296753232582105 0.22741509806241 0.352035610588473 0.953061759433344 0.430933063642568 0.396713269260768 0.508754554380481 0.250301371266624 0.319784743031938 0.64771133337998 0.0589273308283565 0.80937849611849
"ATXN7L3B" 0.461243270427294 0.358694267814204 0.442543092540333 0.460158596143727 0.354662301257848 0.46522794782462 0.550324105034392 0.549403616274188 0.514907914189356 0.511645937915272 0.370239988365158 0.341842925415388 0.476128559321638 0.411214784168908 0.77225212003178
"AURKB" 0.630001913865198 0.516612402735146 0.586528721018915 0.469355501334723 0.310824402461432 0.251051247404105 0.488517068733515 0.562563289426858 0.527712619134163 0.378064360462449 0.338208180993211 0.410306253784907 0.314144888968735 0.486070678915317 0.205407848833557
"AXL" 0.126314519213168 0.128716802977034 0.143707312892769 0.412914372521885 0.176715254510057 0.235743790814482 0.378808124106924 0.238014240546986 0.497430574126248 0.821962555638364 0.0179585000532208 0.257515461358038 0.0373972240147195 0.0334850283636818 0.760278383633637
"B2M" 0.713160067290609 0.548790017481443 0.267489810394242 0.395172999414559 0.861253480388105 2.54782949658003 0.797947300606498 1.29664380159467 1.25590490747856 1.21426556958313 1.6214442567403 1.39135477907797 0.544940128949131 1.14510702897428 1.3322264845659
"BAG3" 0.404094173758549 0.348462275568271 0.268791472409519 0.511981556133501 0.347939163744441 0.283044526518758 1.08632481526229 0.802554289112122 0.449582996492968 0.658436495308467 0.290128105731111 0.339426434869512 0.41299217331139 0.466241379173383 0.665887493712875
"BAG5" 0.768761823936749 0.691935026882938 0.784996482921601 0.846192078333241 0.673708843300545 0.526529106447423 0.81694792416128 0.744775096278944 0.640261925989311 0.75652548079527 0.456384543324127 0.528829185591209 0.822160755942464 0.715309359539101 0.525857442108194
"BASP1" 0.425415301357752 0.307204846771599 0.251251549947648 0.395282131820436 0.437668617340532 0.370988185303281 0.590958784763911 1.19111935560845 0.677501623977973 0.207095933536133 0.269266946325455 0.0976795915726939 0.416145088345376 0.201981661976478 0.323230447509385
"BAZ1A" 0.383200989286072 0.466854579971571 0.451345779553743 0.025281233545703 0.494959085013286 0.579267651463176 0.738411228945039 0.789875599673999 0.742697002141069 0.79586533159782 0.773245466248082 0.893841004639435 0.772259732731838 0.991504541274955 0.458872166658589
"BAZ2B" 0.49661645933768 0.652394348050892 0.547350924010589 0.602840766725169 0.529408788742131 0.671004996605459 0.829814612583419 0.610732463053542 0.599733484191533 0.646142049320959 0.627157205102845 0.61391936607562 0.637190691645673 0.636199400943492 0.993555454721346
"BCAR3" 0.273078811794699 0.194633764147466 0.252563090886248 0.507522346155477 0.249108577212053 0.342811921196779 0.562835391724023 0.526306857233882 0.448327919432907 0.601154615591126 0.390369841771204 0.161180452333799 0.315088944835266 0.416519612225649 1.94023362447731
"BCAT1" 0.54112306203087 0.50205593025135 0.235650325260302 0 0.170503040087693 0.39855302860773 0.548998180348727 0.986817790553234 0.732093106957897 1.41867487468793 0.0108460088043116 0.155334889037032 0.0166916184153382 0.206874203577952 1.25773385169926
"BCL3" 0.246156002898856 0 0.321457336320337 0.410585129878887 0.113426872954728 0.392010236282952 0.771939520521464 0.0389350320107193 0.494461207224829 0.363314279237221 0.146433577023503 0.338716391197344 0.346746985345731 0.372877253320966 0.0390803104105146
"BEND2" 0 0.17773548278116 0.0144475746722946 0.029854774617208 0.29022401829808 0.24700274670919 0.226866645524023 0.575910739015202 0.302167254931566 0.369069656250648 0.285120461280609 0.406250704033488 0.508739573170738 0.750965220204665 0
"BEND5" 0.274508336571698 0.295844772280659 0.27434288335676 0.44129279734685 0.369401627511841 0.353744256188369 0.71012796804787 0.440409435029448 0.46937044302302 0.168311445364824 0.244909465740703 0.218148227199608 0.22778311516681 0.501664673766686 0.314166776830445
"BEX1" 0.571406533947971 0.576205643431241 0.515544165509519 0.414899421025021 0.564655147093842 0.753385484037823 0.705210348906789 1.20108297366384 1.16291237441914 0.990586768494418 0.105885336792119 0.110222439822716 0.407051659668367 0.562271734597616 0.582502295111007
"BEX2" 0.47682288208758 0.459674348666193 0.336366204929595 0.605647748796592 0.222397036185155 0.39576326941481 0.940068719837841 0.567071327724461 0.578158962461046 0.367058153675241 0.012822636218182 0.342267779957836 0.350355158254639 0.600894580981353 1.13165619329422
"BHLHE41" 0.0460457175910669 0 0.640770107669923 0 0.8714880586552 0.320120483406493 0.151076789554501 0.16881976888765 1.23090958456741 0.501345450153971 0.434904469499967 0.130884039670566 0.0262527129116167 0.504544562319988 0.384745142597636
